ID,Name,Type,Parent Circle ID,Purpose,Accountabilities,Scope,Privileges,Status,Lead Link,Person ID,Definition note,Engagement level,Assignment basis
G-019,Finance & Fundraising,Circle,G-041,Fund the org's runway,Prospect pipeline; grant reporting; Founder's Council program; House Party kit,"Major gifts, foundations, dues, events",,Active,Rohan,P-001,Renamed from Fundraising & Development Circle on 2026-09-22.,Staff,User-directed default assignment
G-020,House Party Fundraising Operations,Role,G-036,Hosts have reliable tools and processes for running effective fundraising gatherings.,Maintaining host kits and registration workflows; coordinating donation tracking and follow-up automations; supporting hosts; reviewing operational results with fundraising,"House-party systems, host support, and follow-up workflows",,Active,Pe,P-010, Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-021,Advocacy Circle Lead,Role,G-007,"Advocacy efforts have clear priorities, roles, and resources.",Prioritizing advocacy work; maintaining role assignments; allocating available resources; resolving priority conflicts across campaigns,,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Advocacy Circle Lead. Parent circle set to Advocacy Circle (G-007): exact name match. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-022,Community Circle Lead,Role,G-010,"People can join, participate, and build lasting local and global community.",Prioritizing community work; coordinating member participation and chapter-support resources; maintaining role assignments; reviewing participation needs,,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Community Circle Lead. Parent circle set to Community Circle (G-010): exact name match. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-023,Empowerment Circle Lead,Role,G-013,Members develop the knowledge and leadership to take responsibility for movement work.,Prioritizing learning and development; coordinating training and fellowship support; maintaining role assignments; identifying capacity gaps,,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Empowerment Circle Lead. Parent circle set to Empowerment Circle (G-013): exact name match. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-024,Stop 1984! Circle Lead,Role,G-008,,,,,Retired,,,Named as an owner in the original work register; no matching governance definition. Original label: Stop 1984! Circle Lead (Al). Parent circle set to Stop 1984! Circle (G-008): exact name match. Retired 2026-09-23: Stop 1984 campaign responsibility consolidated into Stop 1984 CA Strategist (G-009).,,
G-025,Chapter Network Circle Lead,Role,G-011,,,,,Retired,,,Named as an owner in the original work register; no matching governance definition. Original label: Chapter Network Circle Lead. Parent circle set to Chapter Network Circle (G-011): exact name match. Retired 2026-09-23: Chapter Network role removed; continuing chapter-support work belongs to Community Circle Lead.,,
G-026,Fellowship Coordinator,Role,G-013,Fellows contribute meaningfully and develop the capacity to own work.,Coordinating recruitment and onboarding; matching Fellows to roles and projects; conducting check-ins; supporting program expansion; coordinating graduation reviews after three months,"Fellowship operations, role matching, and graduation process",,Active,Rohan,P-001,"Named as an owner in the original work register; no matching governance definition. Original label: Fellowship Program Lead. Parent circle set to Fellowship Program Circle (G-014): matching name. Merged with G-014 on 2026-09-23; continuing role retains its ID and work ownership. Purpose, accountabilities, scope, privileges, and recorded assignment carried forward from the wrapper. Updated from user-directed governance and role definitions on 2026-09-23.",Staff,User-directed default assignment
G-027,Communications Coordinator,Role,G-004,"People understand the movement and receive coherent, useful communications.",Coordinating messaging across channels; maintaining email and SMS plans; scheduling participant communications; collecting feedback and reviewing engagement,Cross-channel communications planning,,Active,Rohan,P-001,"Named as an owner in the original work register; no matching governance definition. Original label: Marketing & Communications Circle Lead. No governance circle named ""Marketing & Communications"" exists (closest is Communications & Narrative Circle, G-004); left unassigned pending explicit reconciliation, per the Website/Marketing & Communications naming mismatch already noted for D-013. Updated from user-directed governance and role definitions on 2026-09-23.",Staff,User-directed default assignment
G-028,Finance & Fundraising Lead,Role,G-019,The movement has dependable financial support for its strategy.,Maintaining fundraising priorities and the funding pipeline; coordinating financial planning and reporting; reviewing resource needs; supporting fundraising initiatives,,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Fundraising & Development Circle Lead. Parent circle set to Fundraising & Development Circle (G-019): exact name match. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-029,Operations Lead,Role,G-017,Shared operational processes let the movement work reliably.,Maintaining operating processes and records; coordinating budget and administrative work; identifying operational bottlenecks; supporting clear project and role management,,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Operations & Infrastructure Circle Lead. Parent circle set to Operations & Infrastructure Circle (G-017): exact name match. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-030,Knowledge Base,Role,G-013,"Members can find clear, current resources explaining why and how to participate.",Curating the Resource Center; organizing and reviewing guidance; coordinating content contributions; identifying missing or outdated knowledge,"Knowledge content, navigation, and editorial organization",,Active,Da,P-005,"Named as an owner in the original work register; no matching governance definition. Original label: Knowledge Base Steward (Da). Parent circle set to Knowledge Base Circle (G-015): matching name, corroborated by Da also being its recorded Lead Link. Merged with G-015 on 2026-09-23; continuing role retains its ID and work ownership. Purpose, accountabilities, scope, privileges, and recorded assignment carried forward from the wrapper. Tech (G-036) also consolidated on 2026-09-23 after the Knowledge Base merge left it with only this role; no additional definition or assignment was inferred. Updated from user-directed governance and role definitions on 2026-09-23.",Fellow,User-provided project match
G-031,Membership Systems,Role,G-036,Supporters can join and participate through reliable membership workflows.,"Maintaining registration and onboarding automations; connecting payment, CRM, and community systems; monitoring failures; maintaining documented data and access practices",Membership integrations and lifecycle automation,,Active,Ba,P-008,"Named as an owner in the original work register; no matching governance definition. Original label: Membership Systems Lead (Ba). Parent circle set to Membership Systems Circle (G-018): matching name, corroborated by Ba also being its recorded Lead Link. Merged with G-018 on 2026-09-23; continuing role retains its ID and work ownership. Purpose, accountabilities, scope, privileges, and recorded assignment carried forward from the wrapper. Updated from user-directed governance and role definitions on 2026-09-23.",Fellow,User-provided project match
G-032,House Party Program Lead,Role,,,,,,Retired,,,"Named as an owner in the original work register; no matching governance definition. Original label: House Party Program Lead (Pe). Possible duplicate of House Party Program (G-020, Role under G-019, Lead Link Pe); left unassigned pending explicit reconciliation rather than merged. Retired 2026-09-23: Duplicate house-party role consolidated into House Party Fundraising Operations (G-020).",,
G-033,Social Media Manager,Role,G-004,"People encounter, follow, and share the movement through its social channels.",Maintaining the social content calendar; publishing and coordinating channel content; monitoring engagement; improving distribution and channel workflows,Social channels and publishing workflow,,Active,Rohan,P-001,"Named as an owner in the original work register; no matching governance definition. Original label: Digital Presence Lead. Parent circle set to Digital Presence Circle (G-012): matching name. Merged with G-012 on 2026-09-23; continuing role retains its ID and work ownership. Purpose, accountabilities, scope, privileges, and recorded assignment carried forward from the wrapper. Updated from user-directed governance and role definitions on 2026-09-23.",Staff,User-directed default assignment
G-034,Newspaper Editor-in-Chief,Role,G-010,"The newspaper keeps members informed, connected, and engaged.",Planning issues and publication cadence; soliciting and editing contributions; maintaining editorial standards; coordinating publication and distribution,Newspaper editorial process and production,,Active,Vi,P-009,"Named as an owner in the original work register; no matching governance definition. Original label: Editor-in-Chief (Vi). Likely belongs under Newspaper Circle (G-016, Lead Link Vi), but the name itself doesn't reference a circle; left unassigned pending explicit reconciliation. Updated from user-directed governance and role definitions on 2026-09-23.",Fellow,User-provided project match
G-035,Secretary,Role,G-001,Organizational records and meeting outcomes remain clear and accessible.,Maintaining governance records; recording decisions and meeting outputs; coordinating general-meeting documentation; keeping published role information current,Organization-wide records and meeting documentation,,Active,Rohan,P-001,Named as an owner in the original work register; no matching governance definition. Original label: Secretary. No corresponding circle name or owner correlation found; left unassigned pending explicit reconciliation. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-036,Tech,Circle,G-001,Reliable tools and automations support the movement’s operations.,Maintaining shared technical systems; coordinating system ownership and improvements; tracking reliability and access needs,,,Active,Rohan,P-001,"Added 2026-09-22 as a new top-level circle; takes over Knowledge Base Circle (G-015) from Empowerment. Purpose/Accountabilities/Scope not yet documented. Retired 2026-09-23: after Knowledge Base consolidation, its only child was G-030. The continuing role now sits in Sapiens First Global. Updated from user-directed governance and role definitions on 2026-09-23.",Staff,User-directed default assignment
G-037,Stop 1984 Background Researcher,Role,G-007,"The campaign has a credible, accessible foundation of historical and policy research.",Gathering and checking source material; maintaining the campaign research brief; answering agreed research questions; sharing findings with strategy and policy roles,Stop 1984 history and background research,,Active,Ma,P-002,Added 2026-09-22 under Advocacy Circle. Purpose/Accountabilities not yet documented. Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-038,Stop 1984 Policy Ask Creator,Role,G-007,The campaign communicates specific and well-supported policy asks.,Drafting policy asks; researching policy options and decision-makers; incorporating campaign research and coalition feedback; maintaining clear supporting arguments,Stop 1984 policy asks and supporting briefs,,Active,Ca,P-003,Added 2026-09-22 under Advocacy Circle. Purpose/Accountabilities not yet documented. Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-039,No Killer Robots Campaigner,Role,G-007,Support grows for regulating deadly autonomous weapons.,Developing campaign framing and policy arguments; mapping supporters and audiences; coordinating outreach and campaign materials; reviewing campaign opportunities,No Killer Robots policy and public-support campaign,,Active,Al,P-007,Added 2026-09-22 under Advocacy Circle. Purpose/Accountabilities not yet documented. Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-040,Campaign Support Strategist,Role,G-007,Campaign teams have practical tools and priorities for effective execution.,Maintaining the Campaign Execution Toolkit; helping teams break down and prioritize projects; identifying campaign-support gaps; sharing effective organizing practices,Campaign support methods and execution toolkit,,Active,Rohan,P-001,Added 2026-09-22 under Advocacy Circle. Purpose/Accountabilities not yet documented. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-041,DNA,Circle,G-001,The movement has a coherent direction and the resources to pursue it.,Integrating movement strategy and financial planning; reviewing progress toward organizational goals; maintaining shared priorities,,,Active,Rohan,P-001,Created 2026-09-23 to contain Vision & Strategy and Finance & Fundraising; assignment not yet recorded. Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-042,Berkeley Chapter,Circle,,A locally rooted Berkeley community advances the movement’s mission.,Organizing local participation and gatherings; developing local organizing capacity; coordinating chapter activities and sharing learning with the wider movement,,,Active,Rohan,P-001, Updated from user-directed governance and role definitions on 2026-09-23.,Staff,User-directed default assignment
G-043,Knowledge Management System Steward,Role,G-036,"The knowledge platform is reliable, usable, and maintainable.",Maintaining the knowledge-management platform and integrations; managing documented access and backup processes; resolving technical issues; supporting content contributors,Knowledge platform configuration and technical maintenance,,Active,Da,P-005, Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
G-044,Campaign Media Producer,Role,G-004,"Campaign organizers have clear, usable media resources.",Developing Stop 1984 campaign media resources; adapting research and policy asks into public-facing materials; coordinating visual and editorial consistency; maintaining reusable campaign assets,Campaign media resource development,,Active,Ab,P-006, Updated from user-directed governance and role definitions on 2026-09-23.,Fellow,User-provided project match
